BusStopCode RoadName    Description
05059	New Bridge Rd	Hong Lim Pk
05069	New Bridge Rd	Outram Pk Stn Exit H
05129	Upp Pickering St	Hong Lim Pk
05131	Upp Cross St	Opp Hong Lim Cplx
05189	Sth Bridge Rd	Opp Sri Mariamman Tp
05199	Sth Bridge Rd	Opp Hong Lim Cplx
05239	Neil Rd	Bef The Pinnacle@Duxton
05241	Kreta Ayer Rd	Opp Blk 333
05259	Neil Rd	Aft Kreta Ayer Rd
05269	Sth Bridge Rd	Maxwell Rd FC
05271	Tg Pagar Rd	Opp Fairfield Meth Ch
05319	Church St	OCBC Ctr
05411	Tg Pagar Rd	Tg Pagar Plaza
05419	Tg Pagar Rd	The Amara
05421	Tg Pagar Rd	Aft Craig Rd
05429	Tg Pagar Rd	Bef Craig Rd
05519	Cantonment Rd	Opp Maritime Hse
05521	Cantonment Rd	Maritime Hse
05629	Cantonment Rd	Opp Southpoint
05631	Cantonment Link	Blk 16
05641	Keppel Rd	Customs Port Br HQ
05649	Keppel Rd	Opp Customs Port Br HQ
05651	Tg Pagar Rd	Opp Fuji Xerox Twrs
06011	Outram Rd	Opp Outram Pk Stn
06029	Outram Rd	Outram Pk Stn
06031	Chin Swee Rd	Opp Blk 13
06039	Chin Swee Rd	Blk 8
06049	Outram Rd	BEF OUTRAM FLYOVER
06051	Tiong Bahru Rd	Blk 55
06069	Outram Rd	Aft Furama RiverFront
06071	Zion Rd	Blk 2B
06081	Zion Rd	Blk 94
06129	Kim Seng Rd	Grand Copthorne Hotel
06131	Zion Rd	The Boys' Brigade HQ
06141	Havelock Rd	Holiday Inn Atrium
06149	Havelock Rd	Opp Holiday Inn Atrium
06151	Havelock Rd	Hotel Miramar
06159	Havelock Rd	Opp Hotel Miramar
06161	Havelock Rd	Blk 2
06169	Havelock Rd	River Pl Condo
06171	Upp Cross St	Opp State Ct
06189	Havelock Rd	Ctrl Sq
07011	Selegie Rd	Peace Ctr
07021	Selegie Rd	Selegie Ctr
07031	S'goon Rd	Tekka Ctr
07111	S'goon Rd	Broadway Hotel
07211	S'goon Rd	Sri Srinivasa Perumal Tp
07221	S'goon Rd	Sri Vadapathira K Tp
07231	Kitchener Rd	Bef Tai Hoe Hotel
07241	Lavender St	Bef S'Goon Rd
07249	Lavender St	Aft Kempas Rd
07319	Jln Besar	Aft Allenby Rd
07329	Jln Besar	Hoa Nam Bldg
07331	Kitchener Rd	Aft King George's Ave
07351	Lavender St	Eminent Plaza
07359	Lavender St	Opp Eminent Plaza
07361	Lavender St	Bef Kallang Bahru
07369	Lavender St	Aft Kallang Bahru
07371	Lavender St	Aft Kallang Rd
07379	Lavender St	Bef Kallang Rd
07419	Jln Besar	Opp Veerasamy Rd
07517	Bencoolen St	Opp Burlington Sq
07518	Bencoolen St	Fortune Ctr
07529	Jln Besar	JLN BESAR STN EXIT A
07531	Rochor Canal Rd	Rochor Stn
07539	Sungei Rd	Opp Rochor Stn
07551	Rochor Rd	Fu Lu Shou Cplx
07561	Middle Rd	Bef Waterloo St
07569	Middle Rd	Aft Waterloo St
07571	Middle Rd	Opp Prime Ctr
07589	Ophir Rd	Opp Rochor Ctr
08011	Clemenceau Ave	Opp Haw Par Glass Twr
08019	Clemenceau Ave	Aft Haw Par Glass Twr
08031	Penang Rd	Dhoby Ghaut Stn
08041	Orchard Rd	YMCA
08057	Orchard Rd	Dhoby Ghaut Stn
08058	Orchard Rd	Aft Dhoby Ghaut Stn
08069	Bras Basah Rd	BENCOOLEN STN EXIT B
08079	Prinsep St	Sch of the Arts
08111	Penang Rd	Winsland Hse
08121	Somerset Rd	Somerset Stn
08137	Orchard Rd	Orchard Plaza
08138	Orchard Rd	Concorde Hotel S'pore
09011	Orchard Turn	Opp Ngee Ann City
09022	Orchard Blvd	Bef Orchard Stn Exit B
09023	Orchard Turn	Opp Orchard Stn/ION
09037	Orchard Rd	Opp Mandarin Orchard
09038	Orchard Rd	Opp Somerset Stn
09047	Orchard Rd	Orchard Stn/Tang Plaza
09048	Orchard Rd	Orchard Stn/Lucky Plaza
09059	Grange Rd	Natl Youth Council
09111	Orchard Blvd	Opp Four Seasons Hotel
09121	Orchard Blvd	Bef Tomlinson Rd
09131	Grange Rd	Grange Residences
09139	Grange Rd	Aft Cuscaden Rd
09141	Napier Rd	British Council
09149	Napier Rd	Opp British Council
09159	Tanglin Rd	Aft Tomlinson Rd
09169	Orchard Rd	Delfi Orchard
09179	Orchard Rd	Royal Thai Embassy
09191	Tomlinson Rd	The Regent S'pore
09212	Scotts Rd	Royal Plaza On Scotts
09213	Scotts Rd	Thong Teck Bldg
09219	Scotts Rd	Far East Plaza
10009	Bt Merah Ctrl	Bt Merah Int
10011	New Bridge Rd	Opp New Bridge Rd Ter
10017	Eu Tong Sen St	Aft Hosp Dr
10018	Eu Tong Sen St	Outram Pk Stn Exit F/SGH
10021	Neil Rd	Blk 3
10039	Kg Bahru Rd	Bef Hosp Dr
10041	Kg Bahru Rd	Aft Blair Rd
10049	Kg Bahru Rd	Aft Jln Bt Merah
10051	Jln Bt Merah	Blk 149
10059	Jln Bt Merah	Opp Blk 149
10061	Jln Bt Merah	Blk 140
10069	Jln Bt Merah	Opp Blk 140
10071	Jln Bt Merah	Blk 111
10079	Jln Bt Merah	Blk 201
10081	Jln Bt Merah	Opp Blk 120
10089	Jln Bt Merah	Blk 119
10091	Jln Bt Merah	Bt Merah Town Ctr
10099	Jln Bt Merah	Opp Bt Merah Town Ctr
10101	Jln Bt Merah	SPRING S'pore Bldg
10109	Jln Bt Merah	Opp SPRING S'pore Bldg
10111	Jln Bt Merah	Opp Blk 28
10119	Jln Bt Merah	Opp Pacific Tech Ctr
10121	Kim Tian Rd	Blk 126 CP
10129	Kim Tian Rd	Blk 121
10131	Jln Bt Merah	Opp Blk 2
10139	Jln Bt Merah	Blk 1
10141	Tiong Bahru Rd	Blk 18
10149	Tiong Bahru Rd	Blk 1
10151	Tiong Bahru Rd	Ctrl Green Condo
10161	Tiong Bahru Rd	Opp Tiong Bahru Plaza
10169	Tiong Bahru Rd	Tiong Bahru Plaza
10171	Tiong Bahru Rd	Opp Tiong Bahru Pk
10179	Tiong Bahru Rd	Tiong Bahru Pk
10181	Tiong Bahru Rd	Bef Al-Rabitah Mque
10189	Tiong Bahru Rd	Blk 104A CP
10191	Tiong Bahru Rd	Blk 78
10199	Tiong Bahru Rd	Delta Swim Cplx
10201	Tiong Bahru Rd	Opp Redhill Stn
10209	Tiong Bahru Rd	Redhill Stn
10211	Leng Kee Rd	Porsche Ctr S'pore
10219	Leng Kee Rd	Opp Motor Image
10221	Ganges Ave	Ganges Ctr
10229	Ganges Ave	Opp Harvest Mans
10231	Ganges Ave	Blk 51 CP
10239	Ganges Ave	Blk 79
10241	Alexandra Rd	Gan Eng Seng Sec Sch
10249	Alexandra Rd	Opp Gan Eng Seng Sec Sch
10261	Alexandra Rd	Delta Sports Hall
10269	Alexandra Rd	Opp Delta Sports Hall
10271	Alexandra Rd	Opp Tanglin View
10279	Alexandra Rd	Tanglin View
10281	Alexandra Rd	SIS Bldg
10289	Alexandra Rd	Opp SIS Bldg
10291	Alexandra Rd	Bef Dawson Rd
10299	Alexandra Rd	Aft Dawson Rd
10321	Tanglin Rd	Aft Margaret Dr
10329	Tanglin Rd	Crescent Girls' Sch
10331	Henderson Rd	Bef Bt Merah Ctrl
10339	Henderson Rd	Aft Bt Merah Ctrl
10341	Henderson Rd	Opp Blk 116
10349	Henderson Rd	Blk 116
10351	Henderson Rd	Bef Tiong Bahru Rd
10359	Henderson Rd	Aft Tiong Bahru Rd
10361	Lower Delta Rd	Cendex Ctr
10369	Lower Delta Rd	Opp Cendex Ctr
10371	Lower Delta Rd	Blk 129
10379	Lower Delta Rd	Blk 25B
10381	Lower Delta Rd	Opp Blk 48
10389	Lower Delta Rd	Blk 48
10391	Kg Bahru Rd	Opp Melati Blk 2
10399	Kg Bahru Rd	Melati Blk 2
10401	Hoy Fatt Rd	Shriro Hse
10409	Hoy Fatt Rd	Blk 50
10411	Hoy Fatt Rd	Opp Blk 53
10419	Hoy Fatt Rd	Blk 52
10421	Lengkok Bahru	Blk 63B
10429	Lengkok Bahru	Blk 54
10431	Lengkok Bahru	Opp Blk 55
10439	Lengkok Bahru	Blk 55
10441	Lengkok Bahru	Opp Blk 44
10449	Lengkok Bahru	Blk 44
10451	Redhill Rd	Opp Blk 71
10459	Redhill Rd	Blk 72
10461	Kay Siang Rd	Aft Margaret Dr
10469	Kay Siang Rd	Bef Margaret Dr
10471	Kay Siang Rd	Bef Tanglin Rd
10479	Kay Siang Rd	Aft Tanglin Rd
10481	Redhill Cl	Opp Blk 73
10489	Redhill Cl	Blk 73
10501	Jln Bt Merah	Blk 104
10519	Delta Rd	Blk 4
10589	Eu Tong Sen St	New Bridge Rd Ter
10599	Jln Rumah Tinggi	Opp Blk 36
10651	Bt Merah Ctrl	Blk 161
10659	Bt Merah Ctrl	Blk 1003
11009	Ghim Moh Rd	Ghim Moh Ter
11019	Jln Bt Merah	Opp OG Fty
11021	Queensway	Aft Queenstown NPC HQ
11029	Queensway	Blk 166
11031	Queensway	Opp Queen's Cl
11039	Queensway	Blk 19
11041	Queensway	Aft C'wealth Dr
11049	Queensway	Opp Blessed Sacrament Ch
11051	Queensway	Opp Queenstown Polyclinic
11059	Queensway	Queenstown Polyclinic
11061	Queensway	Opp Queensway Sec Sch
11069	Queensway	Queensway Sec Sch
11071	Queensway	Blk 97
11079	Queensway	Opp Blk 95
11081	Queensway	Viz Holland
11089	Queensway	Opp Holland Hill Lodge
11091	Farrer Rd	Tulip Gdn
11099	Farrer Rd	Opp Tulip Gdn
11101	Farrer Rd	Farrer Rd Mkt
11109	Farrer Rd	Spanish Village
11111	Farrer Rd	Farrer Rd Stn Exit B
11119	Farrer Rd	Farrer Rd Stn Exit A
11131	C'wealth Ave	Queens Condo
11139	C'wealth Ave	Blk 53A CP
11141	C'wealth Ave	Queenstown Stn Exit A/D
11149	C'wealth Ave	Queenstown Stn Exit B/C
11151	C'wealth Ave	Blk 42
11159	C'wealth Ave	Aft Ch Of Our Saviour
11161	C'wealth Ave	C'Wealth Stn Exit A/D
11169	C'wealth Ave	C'Wealth Stn Exit B/C
11171	C'wealth Ave	Opp Blk 7B
11179	C'wealth Ave	Blk 8
11181	C'wealth Ave	Opp Blk 43
11189	C'wealth Ave	Blk 43
11191	C'wealth Ave West	Buona Vista Stn
11199	C'wealth Ave West	Blk 15
11201	Holland Rd	CSC Dempsey Clubhse
11209	Holland Rd	Opp Peirce Rd
11211	Holland Rd	Aft Peirce Rd
11219	Holland Rd	Great Eastern Mans
11221	Holland Rd	Lien Twrs
11229	Holland Rd	Les Jardins De Holland
11231	Holland Rd	Aft Estoril Mans
11239	Holland Rd	Fairlodge
11259	Holland Dr	Opp Blk 21
11261	Holland Rd	Holland Village
11269	Holland Rd	Opp Holland Village
11271	Holland Rd	Aft East Sussex Lane
11279	Holland Rd	Aft Coronation Rd West
11281	Holland Rd	Aft Tan Boon Chong Ave
11289	Holland Rd	Opp Tan Boon Chong Ave
11291	Holland Rd	Cold Storage Jelita
11299	Holland Rd	Opp Cold Storage Jelita
11301	Sixth Ave	Hse No. 578
11309	Sixth Ave	Hse No. 589
11311	Sixth Ave	Hse No. 532
11319	Sixth Ave	Opp Hse No. 516
11321	Sixth Ave	Opp Regent Villa
11329	Sixth Ave	Regent Villa
11331	Sixth Ave	Opp Dynasty Gdn II
11339	Sixth Ave	Dynasty Lodge
11341	Sixth Ave	Garlick Ville
11349	Sixth Ave	Opp Garlick Ville
11351	Ghim Moh Rd	Blk 13
11359	Ghim Moh Rd	Opp Blk 13
11361	Nth Buona Vista Rd	Buona Vista Stn Exit C
11369	Nth Buona Vista Rd	Buona Vista Stn Exit D
11379	Nth Buona Vista Rd	Buona Vista Ter
11381	Holland Dr	Blk 10A
11389	Holland Dr	Blk 46
11401	Holland Ave	Holland V Stn Exit C
11409	Holland Ave	Blk 9
11419	Holland Ave	Holland V Stn Exit A
11429	C'wealth Dr	Opp Blk 115B
11439	C'wealth Dr	Blk 92
11441	C'wealth Dr	Blk 58
11449	C'wealth Dr	Blk 37B
11451	C'wealth Dr	Blk 72
11459	C'wealth Dr	Blk 50
11469	Margaret Dr	Queensway Sec Sch
11471	Margaret Dr	Opp The Fisherman Ch
11479	Margaret Dr	The Fisherman Ch
11481	Margaret Dr	Queenstown Lib
11489	Margaret Dr	Opp Queenstown Lib
11491	Margaret Dr	Opp Queenstown Pr Sch
11499	Margaret Dr	Queenstown Pr Sch
11511	Alexandra Rd	Alexandra Hosp
11519	Alexandra Rd	Opp Queensway Shop Ctr
11521	Alexandra Rd	Anchorpoint
11529	Alexandra Rd	Bef IKEA Ind Bldg
11531	Alexandra Rd	Opp Lea Hin Hardware Fty
11539	Alexandra Rd	Lea Hin Hardware Fty
11541	Stirling Rd	Opp Queens
11551	Stirling Rd	Tiong Ghee Tp
11561	Stirling Rd	Blk 166
11579	Mei Ling St	Blk 158
11589	Mei Ling St	Blk 157
11599	Mei Ling St	Blk 153
11609	Mei Chin Rd	Blk 163
12021	Holland Rd	Bef Moonbeam Wk
12029	Holland Rd	Opp Moonbeam Wk
12031	Ulu Pandan Rd	Pandan Valley Condo
12039	Ulu Pandan Rd	Opp Pandan Valley Condo
12041	Ulu Pandan Rd	Aft Pandan Valley
12049	Ulu Pandan Rd	Opp Pandan Valley
12051	Ulu Pandan Rd	Pine Gr Condo
12059	Ulu Pandan Rd	Opp Pine Gr Condo
12061	Clementi Rd	Blk 109
12069	Clementi Rd	Opp Blk 109A
12071	Clementi Rd	Blk 116
12079	Clementi Rd	Opp Blk 116
12081	Clementi Rd	Maju Camp
12089	Clementi Rd	Opp Maju Camp
12091	Clementi Rd	SIM HQ
12099	Clementi Rd	Opp SIM HQ
12101	Clementi Rd	Ngee Ann Poly
12109	Clementi Rd	Opp Ngee Ann Poly
12111	Ulu Pandan Rd	Bef Clementi Rd
12119	Ulu Pandan Rd	Police KINS Trg Camp
12121	Ghim Moh Rd	Blk 7
12129	Ghim Moh Rd	Blk 3
12131	Mt Sinai Rd	Aft Grove Ave
12139	Mt Sinai Rd	Aft Mt Sinai Lane
12141	Mt Sinai Rd	Opp Henry Pk
12149	Mt Sinai Rd	Henry Pk
12151	Moonbeam Walk	Bef Moonbeam Terr
12169	Pandan Valley	Pandan Valley
12179	Mt Sinai Rise	Montview
12189	Mt Sinai Rise	Bef Mt Sinai Dr
12199	Mt Sinai Rise	Opp Village Twr
12201	Clementi Ave 6	Logishub @ Clementi
12209	Clementi Ave 6	Opp Logishub @ Clementi
12211	Mt Sinai Dr	Bef Mt Sinai Wk
13011	Napier Rd	Opp S'pore Botanic Gdns
13019	Napier Rd	S'pore Botanic Gdns
13021	Holland Rd	Aft Min Of Foreign Affairs
13029	Holland Rd	Bef Tyersall Ave
13031	Tanglin Rd	Opp Chatsworth Rd
13039	Tanglin Rd	Bef Chatsworth Rd
13041	Tanglin Rd	Aft Rochalie Dr
13049	Tanglin Rd	Bef Rochalie Dr
13051	River Valley Rd	Opp Valley Pt
13059	River Valley Rd	Valley Pt
13062	River Valley Rd	Mutiara View
13063	River Valley Rd	Mutiara Crest
13069	River Valley Rd	Valley Pk Condo
13071	River Valley Rd	Opp ERC Inst
13079	River Valley Rd	Aft ERC Inst
13081	River Valley Rd	St. Thomas Wk
13089	River Valley Rd	Opp St. Thomas Wk
13091	River Valley Rd	Aft AA Ctr
13099	River Valley Rd	Bef AA Ctr
13101	River Valley Rd	Opp Mohd Sultan Rd
13109	River Valley Rd	UE Sq
13119	Kim Seng Rd	Opp Great World City
13121	Zion Rd	Opp Great World City
13139	Kim Seng Rd	The Trillium
13141	Hoot Kiam Rd	Aft Zion Full Gospel Ch
13159	Irwell Bank Rd	Bef Zion Full Gospel Ch
13169	Grange Rd	Grange 80 Condo
13171	Grange Rd	Gramercy Pk
13179	Grange Rd	Cliveden At Grange
13181	Grange Rd	Aft One Tree Hill
13189	Grange Rd	Bef One Tree Hill
13191	Paterson Rd	Bef Orchard Blvd
13199	Paterson Rd	Aft Orchard Blvd
13201	Tanglin Rd	British High Comm
13209	Tanglin Rd	Opp British High Comm
13211	Mohd Sultan Rd	Aft Unity St
14009	Seah Im Rd	HarbourFront Int
14011	Kg Bahru Rd	Bef Mt Faber Lodge
14019	Kg Bahru Rd	Opp Mt Faber Lodge
14021	Lower Delta Rd	The Pearl @ Mt Faber
14029	Lower Delta Rd	Blk 105
14031	Lower Delta Rd	St. Theresa's Convent
14039	Lower Delta Rd	Opp St. Theresa's Convent
14041	Henderson Rd	Blk 54
14049	Henderson Rd	Opp Blk 55
14051	Henderson Rd	Aft Telok Blangah Hts
14059	Henderson Rd	Bef Telok Blangah Hts
14061	Keppel Rd	Opp Former Railway Stn
14069	Keppel Rd	Former Railway Stn
14071	Keppel Rd	Keppel Workshop
14081	Keppel Rd	Tg Pagar DP Blk F5
14089	Keppel Rd	Opp Tg Pagar DP Blk F5
14101	Keppel Rd	Opp Keppel DP Blk 517
14109	Keppel Rd	Keppel DP Blk 517
14119	Telok Blangah Rd	Opp VivoCity
14121	Telok Blangah Rd	Harbourfront Stn Exit B
14129	Telok Blangah Rd	Harbourfront Stn Exit A
14131	Telok Blangah Rd	Caribbean at Keppel Bay
14139	Telok Blangah Rd	Bef Seah Im Rd
14141	Telok Blangah Rd	VivoCity
14151	Telok Blangah Rd	Opp Chr Community Chapel
14159	Telok Blangah Rd	Bef Chr Community Chapel
14161	Telok Blangah Rd	Telok Blangah Stn
14169	Telok Blangah Rd	Opp Telok Blangah Stn
14171	Telok Blangah Rd	Opp Yeo's Bldg
14179	Telok Blangah Rd	Yeo's Bldg
14189	Telok Blangah Rd	Aft Alexandra Rd
14191	Depot Rd	Blk 105 CP
14199	Depot Rd	Blk 118
14201	Depot Rd	Blk 110
14209	Depot Rd	Aft Hewlett Packard
14211	Depot Rd	ISS Intl Sch
14219	Depot Rd	Opp Blk 114
14221	Kg Bahru Rd	Opp St. Teresa's Ch
14229	Kg Bahru Rd	St. Teresa's Ch
14231	Kg Bahru Rd	Keppel DP Blk 519
14239	Kg Bahru Rd	Opp Keppel DP Blk 519
14241	Henderson Rd	Opp Blk 1
14249	Henderson Rd	Blk 1
14259	Telok Blangah Cres	Blk 11
14269	Telok Blangah Cres	Blk 10
14271	Telok Blangah Way	Al-Amin Mque
14279	Telok Blangah Way	Blk 25
14281	Telok Blangah Way	Opp Blk 11
14291	Telok Blangah Way	Blk 27
14299	Telok Blangah Way	Opp Blk 27
14309	Telok Blangah Rise	Blk 41
14319	Telok Blangah Rise	Blk 28
14329	Telok Blangah St 32	Blk 67
14331	Telok Blangah Hts	Aft Telok Blangah St 32
14339	Telok Blangah Hts	Bef Telok Blangah St 32
14341	Telok Blangah Hts	Opp Blk 59
14349	Telok Blangah Hts	Blk 59
14351	Telok Blangah Dr	Aft Blk 48
14359	Telok Blangah Dr	Blk 50
14369	Depot Rd	The Interlace
14379	Lower Delta Rd	Blk 40
14381	Bt Purmei Ave	Blk 109
14389	Bt Purmei Ave	Opp Blk 109
14391	Telok Blangah Hts	Opp Blk 85
14399	Telok Blangah Hts	Blk 85
14471	Depot Rd	Blk 114
14489	Telok Blangah Rise	Blk 36 Mkt/FC
14491	Telok Blangah Dr	Opp Telok Blangah Mkt/FC
14499	Telok Blangah Dr	Telok Blangah Mkt/FC
14519	Sentosa Gateway	Resorts World Sentosa
14521	Artillery Ave	Merlion Plaza
14529	Artillery Ave	Opp Merlion Plaza
14539	Beach View	Beach Station Bus Terminal
15041	Alexandra Rd	Aft PSA Bldg
15049	Alexandra Rd	Bef PSA Bldg
15051	Alexandra Rd	Alexandra Pt
15059	Alexandra Rd	Opp Alexandra Pt
15071	Sth Buona Vista Rd	Opp Lor Sarhad
15079	Sth Buona Vista Rd	Aft Lor Sarhad
15091	Sth Buona Vista Rd	Opp Natl Leadership Inst
15099	Sth Buona Vista Rd	Natl Leadership Inst
15101	Sth Buona Vista Rd	Opp LP 31
15109	Sth Buona Vista Rd	LP 30
15111	Sth Buona Vista Rd	Sci Pk 2/The Galen
15119	Sth Buona Vista Rd	Opp Sci Pk 2/The Galen
15121	Sth Buona Vista Rd	Sci Pk 2/The Gemini
15129	Sth Buona Vista Rd	Opp Sci Pk 2/The Gemini
15131	Sth Buona Vista Rd	Kent Ridge Stn
15139	Sth Buona Vista Rd	Kent Ridge Stn Exit B
15141	Pasir Panjang Rd	Labrador Pk Stn
15149	Pasir Panjang Rd	Labrador Pk Stn/PSA Bldg
15151	Pasir Panjang Rd	Bayanihan Ctr
15159	Pasir Panjang Rd	Mapletree Business City
15161	Pasir Panjang Rd	Pasir Panjang Ctr
15169	Pasir Panjang Rd	Harbourside Ind Bldg 2
15181	Science Pk Dr	PSB S'pore
15189	Science Pk Dr	DNV Technology Ctr
15191	Pasir Panjang Rd	Pasir Panjang Stn/Fc
15199	Pasir Panjang Rd	Opp Currency Hse
15201	Pasir Panjang Rd	Aft Pasir Panjang Stn
15209	Pasir Panjang Rd	Bef Pasir Panjang Stn
15211	Pasir Panjang Rd	Opp Pasir View Pk
15219	Pasir Panjang Rd	Pasir View Pk
15221	Pasir Panjang Rd	Aft Sth Buona Vista Rd
15229	Pasir Panjang Rd	Bef Sth Buona Vista Rd
16009	Clementi Rd	Kent Ridge Ter
16011	Pasir Panjang Rd	Opp Haw Par Villa Stn
16019	Pasir Panjang Rd	Haw Par Villa Stn
16021	Pasir Panjang Rd	Opp Gloria Man
16029	Pasir Panjang Rd	Gloria Man
16031	Pasir Panjang Rd	Opp S'pore Science Pk II
16039	Pasir Panjang Rd	S'pore Science Pk II
16041	Pasir Panjang Rd	Opp The Longhouse
16049	Pasir Panjang Rd	Westvale
16051	Pasir Panjang Rd	The Crystal Tabernacle Ch
16059	Pasir Panjang Rd	Jamiyah Halfway Hse
16061	Pasir Panjang Rd	Opp Heng Mui Keng Terr
16069	Pasir Panjang Rd	Heng Mui Keng Terr
16071	Pasir Panjang Rd	Opp Pasir Panjang PO
16079	Pasir Panjang Rd	Bef Pasir Panjang PO
16081	Pasir Panjang Rd	Aft Palm Green Condo
16089	Pasir Panjang Rd	Aft Clementi Rd
